letter of the alphabet	ï»¿aabaa
submerged	liimamaa
pedestal rock	liimmaa
to submerge	liimuu
litre	liitiroo
clitoris	likina
black milk	lila
dive	lilima
diver	lilimaa
diving	lilimmii
to dive	lilimuu
a small needle	lilmee
to get an injection	lilmee waraannachuu
to inject	lilmee waraanuu
pin	lilmee warqataa
syringe	lilmexuuxxuu
needle	lilmoo
sphere magnetic needle	lilmoo maagineetaa
pore	lima
cereal	limaaya
pitch dark	limmixii
loan	liqaa
foreign loan	liqaa biyyalaa
war loan	liqaa waraanaa
to borrow	liqeeffachuu
borrowing	liqeeffannoo
borrowing of words	liqeeffannoo jechayyaalee
borrower	liqeeffataa
creditor	liqeessaa
to lend	liqeessuu
Adam's apple	liqimsituu
bookworm	liqimsituu barroo
sound absorbing	liqimsituu sagalee
west	lixa
sunset	lixa-aduu
sunset	lixa-biiftuu
western	lixaa
headlong	lixiisoo
occident	lixoolee
ally	loga
non-allied	loga-maleessa
logarithm	logaartima
climbing bean plant and it beans	lojoo
quarrel	lola
assault	lola gipphoo
warlike	lola jaalattuu
flow	lola'a
magnetic flux	lola'a maagineetaa
belligerency	lola-jaalattummaa
flood	lolaa
to spill	lolaasuu
combatant officer	lolchiisaa
attendant	lolee
rinsing	lolla'a
to rinse	lolla'uu
nausea	lollojjii
creeper	lollootuu
elephant grass	loloqaa
fighter	loltuu
freedom fighter	loltuu bilisummaa
paratroops	loltuu daatuu
crusader	loltuu fannoo
national fighter	loltuu sabaa
to quarrel	loluu
wool	loofsa
pure wool	loofsa culkii
a large needle	looftuu
knitting-needle	looftuu qomee
same as sirnayaadaa	loojika
leading reins for horses and mules	lookoo
epidemic	loollii
straight	loomaa
same as dhuggoo	loomii
patella	loommii
cattle	loon
dairy cattle	loon aannanii
beef type	loon foonii
cows that don't have milk	loon fooraa
nuptial house	looshaa
a game played by passing under sticks	loosoo
reptile	lootee
earring worn by a killer of an elephant	lootii
lizard	lootuu
groundnut	looza
dialect	loqoddoo
strong diarrhea	loshaa
lottery	lotorii
a stage of political leadership in the Oromo gadaa-system of government	luba
germ	lubbiyyoo
soul	lubbuu
non-living thing	lubbuu-dhabeessa
living	lubbuu-qabeessa
priest	lubee
chief priest	luboo
elliptical	luffataa
oval	luggee
vault	luggee manaa
coward	lugna
to become a coward	lugnoomuu
cowardice	lugnummaa
leg	luka
same as shuguyyaa	lukaandaa
two-legged	lukalamee
bowlegs	lukdabaa
messenger	lukee
stockings	lukeellaa
chicken	lukkuu
mail-man	lukoo
hip	luqqeettuu
pickpocket	luqqifattuu
grassland	lushoo
temperate grassland	lushoo baddadaree
tropical grass	lushoo gammoojjii
bit	luugama
to suck	luuguu
inert	luujee
inertia	luujii
conical	luullee
assault	luullessa
aggressor	luullessaa
attack	luullessii
offensiveness	luullessummaa
to attack	luullessuu
sulky	luushuu
brucellosis	luxa
P.T.O.	M.G. (mee garagalchaa)
overlapping teeth	maa'ila
amazement	maadee
to be surprised	maadeffachuu
binoculars	maaduraa
envelope	maafa
roundworm	maagaa
irrigation channel	maagata
magnet	maagineeta
bar magnet	maagineeta battee
terrestrial magnetism	maagineeta dachee
horseshoe magnet	maagineeta hookkoo
permanent magnet	maagineeta waaraa
magnetisation	maagineetomsa
to magnetise	maagineetomsuu
magnetist	maagineettuu
magnetism	maagineetummaa
iron griddle	maajatee
rate	maakkii
interest rate	maakkii dhalaa
birth rate	maakkii dhalannaa
mortality rate	maakkii du'aatii
price rate	maakkii gatii
rate of exchange	maakkii geeddartii
the rate of economic growth	maakkii guddina dinagdee
growth rate	maakkii guddinaa
dewlap	maala
miracle	maalala
admirable	maalalamaa
amazing	maalalchiisaa
to wonder	maalalfachuu
admiration	maalaloo
admirer	maalaltuu
to admire	maalaluu
money	maallaqa
capital	maallaqa angafa
banknote	maallaqa baankii
working capital	maallaqa jalqabaa
reserve fund	maallaqa olkaawamaa
cahier	maallaqa qabduu
gold standard	maallaqa sabbuu
bail	maallaqa wabii
fundraising	maallaqa walittiqabuu
paper money	maallaqa waraqataa
endowment fund	maallaqa yeroo
cashier	maallaqxuu
rainmaker	maallima
meteorology	maallimsii
meteorologist	maallimsituu
to study and know about the weather	maallimuu
essence	maalummaa
sling	maamma'ee
customer	maammila
infrastructure	maana
minor	maandhoo
architect	maandisa
civil engineer	maandisa burgeessaa
same as ambalafee	maangoo
sand	maansa
sand-bank	maansa bishaanii
scoria	maansa diimaa
sandy	maansawaa
to sand	maansuu
Atlantic Ocean	Maanya Atlaantikaa
Indian Ocean	Maanya Hindii
Pacific Ocean	Maanya Nagaa
white xaafii	maanyaa
seaman	maanyituu
pseudonym	maaqsobee
a deity appeased by women for fertility	maaram
Mary	maaramii
Mercedes	maarchedisii
margarine	maargariina
result	maarkaa
Marx	Maarkis
Marxist	maarkisicha
Marxism	Maarkisummaa
Mazda	maasdaa
muscle	maashaa
anconeal muscle	maashaa ciqilee
skeletal msucles	maashaa dalgee
stripped muscles	maashaa diriiraa
voluntary muscles	maashaa fedhii
myometrium	maashaa gadameessaa
eye muscles	maashaa ijaa
brachial muscle	maashaa irree
smooth muscle	maashaa laafaa
orbicular muscle	maashaa marsaa
vocal muscle	maashaa qooqaa
iliac muscle	maashaa tafaa
machine	maashina
heavy machine	maashina geldii
operation machine	maashina qooyyabaa
simple machine	maashina salphaa
machinist	maashintuu
nuclear family	maatii
large family	maatii baldhaa
complete family	maatii guutii
cynic	maattoyyee
university	mabba
book	macaafa
Holy Book	macaafa qulqulluu
interior organ	macalufa
market	machaara
alcoholism	machaawummaa
abdomen	macoo
liquid in the intestines	macoroo
intestine	macuree
sore	madaa
bed sores	madaa dhiittoo
tropical ulcer	madaa gammoojjii
speedometer	madaal-daddaffii
chronometer	madaal-yeroo
balance	madaala
energy balance	madaala giidoo
measuring mass	madaala hangoo
balance	madaala humnaa
balance of forces	madaala humnootii
intelligence quotient	madaala sammuu
indent scale	madaala siqaa
weight scales	madaala ulfinaa
ecological balance	madaala xinnaannoo
equilibrium	madaalammee
hydrometer	madaalbishee
rain-gauge	madaalbokkaa
voltmeter	madaalboltii
anemometer	madaalbubbee
respirometer	madaalfilaa
medal	madaaliyaa
silver medal	madaaliyaa meetii
gold medal	madaaliyaa sabbuu
gauge	madaallee
petrol-gauge	madaallee gaasii
balance	madaallii
ecological balance	madaallii uumamaa
tachometer	madaalnannee
carat	madaalsabbuu
instrument used for measurement	madaaltuu
gas meter	madaaltuu gaasii
accelerometer	madaaltuu hurrisaa
anemometer	madaaltuu qilleensaa
to measure	madaaluu
to be wounded	madaawuu
barometer	madalqilleensaa
radiation	madana
solar radiation	madana aduu
background radiation	madana duuboo
thermal radiation	madana holakee
heat radiation	madana hoo'inaa
secondary radiation	madana lammee
visible radiation	madana muldhataa
radiant	madanaa
to radiate	madanuu
tamed	madaqfamaa
newcomer	madaqoo
domestication	madaqsa
to accustom	madaqsuu
act	madara
doer	madaraa
task	madartii
to do	madaruu
source	madda
genesis	madda dhalootaa
electric source	madda eletrikaa
mucus secretion	madda furrii
source of revenue	madda galtii
source of heat	madda hoo'inaa
natural source of light	madda ifa uumamaa
primary source	madda jalqabbee
background	madda keessoo
secondary source	madda lammee
financial resource	madda maallaqaa
spark plug	madda qaanqee
point of source	madda qabxii
authorship	madda yaadaa
partition	maddaarroo
very small	maddee
cheek	maddii
electric generator	maddisa korreentii
generator	maddisaa
matrix	maddoo
minority	maddummaa
to wound	madeessuu
wounded	madoolee
town	magaalaa
hometown	magaalaa dhalootaa
main town	magaalaa duraasaa
Holy-City	magaalaa eebbaa
county town	magaalaa koonyaa
commercial town	magaalaa seedannoo
residential city	magaalaa teessummaa
industrial town or city	magaalaa warshaa
a small town	magaalattii
metropolis	magaalbantii
mayor	magaalbulchaa
an ancient town or city	magaaldurii
urbanism	magaaleffannoo
a seaport town	magaalmalkee
capital city	magaalmataa
suburb	magaalmoggaa
urbanised	magaalomfamaa
urbanisation	magaalomsii
to urbanise	magaalomsuu
ghost town	magaalontuu
urbane	magaalotee
a city dweller	magaaloyyee
urbanity	magaalummaa
trumpet	magalaata
apology	magantaa
green	magariisa
dark green	magariisa limmixii
evergreen	magariisee
vegetation	magaroo
greenness	magarooma
to make green	magaroomsuu
green	magartuu
scenery	maginoo
abattoir	magorraa
epidemic parotitis	magurroo
Mohammed	Mahaammad
mixture	makaa
heterogeneous mixture	makaa gos-addee
homogeneous mixture	makaa gos-tokkee
mechanic	makaanika
to mechanise	makaanikeessuu
mechanics	makaanikummaa
slate	makabaxxee
mixed	makamaa
alloy	makasibiila
1) car	makiinaa
milking-machine	makiinaa aannanii
typewriter	makiinaa barreessii
to type	makiinaa barreessuu
fire engine	makiinaa dhaamsaa ibidaa
garbage truck	makiinaa gattaa
slot machine	makiinaa gurgurtuu
sewing machine	makiinaa hoddhaa
spinning	makiinaa jirbii
polishing machine	makiinaa lalaaffisaa
printing	makiinaa maxxansii
juke-box	makiinaa muusiqaa
agricultural machinery	makiinaa qonnaa
simple machine	makiinaa salphaa
tea-urn	makiinaa shaayii
trolley-bus	makiinattii
inter-cropping	makiinqotiisa
machinist	makiintuu
Mecca	Makkaa
messenger of the gadaa-councillors	Makkala
to dismiss from office	makkala buqqisuu
a lower official	makkala gadaanaa
a higher official	makkala olaanaa
appointment to an office	makkalama
appointee	makkalamaa
a petty official	makkalee
assistance	makkaltii
assistant	makkaltuu
officialdom	makkalummaa
to assign to an office	makkaluu
hybrid	makkee
dihybrid	makkee mirroo
hybridisation	makkeessa
mix	makkii
comfort	makkoo
dove	makoodii
fusion	maktoo
mixer	maktuu
to add	makuu
method	mala
modern method	mala ammayyaa
unit measurement method	mala dhaaba madaalaa
to bring a means	mala dhiyeessuu
outmoded method	mala duriii
echo method	mala goowaa
new method	mala haaraa
breeding method	mala horsiisa horii
statistics method	mala istaatistikaa
method of defence	mala ittisaa
irrigation method	mala jallisaa
method of study	mala qorannoo
pussy	mala'aa
to be discharged	mala'uu
to guess	mala-dhawuu
guess	mala-dhayiitii
pus	malaa
to squeeze	malaasuu
politics	malabultii
examiner	malagduu
examination	malaggaa
to examine	malaguu
cellar	malaja
shawm	malakata
methodology	malantaa
lowland	malbee
low	malbee hoo'aa
puddle	malbii
hypothesis	maldhawiinsa
same as ayyaanoo	maleekaa
ford	malkaa
outlet	malkaa lagaa
harbour	malkee
seaport	malkee garbaa
river port	malkee lagaa
natural harbour	malkee uumaa
naval port	malkee waraana galaana
chick	mallaa
signatory	mallateessaa
subscript	mallatto-jalee
sign	mallattoo
punctuation mark	mallattoo buufattoo
birth-mark	mallattoo dhalannaa
disease symptom	mallattoo dhukkubaa
infinite sign	mallattoo dhumadhablee
electron symbol	mallattoo eletroonaa
question mark	mallattoo gaafii
integral symbol	mallattoo guutii
symptom of food deficiency	mallattoo hanqinsoorataa
relation symbol	mallattoo hariiroo
stress mark	mallattoo itti-jabeessii
guidepost	mallattoo karaa
sign of union	mallattoo makaa
exclamation mark	mallattoo raajeffannoo
quotation marks	mallattoo waraabbii
asterisk	mallatturjii
figurative	mallee
description	malmallee
job description	malmallee hojii
new-born	malqoo
macadam	maltaa
intriguer	maltee
design	malteena
modern design	malteena ammayyaa
industrial design	malteena warshaa
schemer	maltuu
diplomacy	malummaa
to find means	maluu
hesitant	mamaa
hesitation	mamii
one who talks in proverbs	mammaakaa
parable	mammaakkoo
proverb	mammaaksa
to talk in proverbs	mammaakuu
doubtful	mamsiisaa
to be uncertain	mamuu
house	mana
milk bar	mana aannanii
the White House	mana Adii
show-room	mana agarsiisaa
a small house built on a grave	mana awwaalaa
bank	mana baankii
college	mana barachiisii
student hostel	mana barattuu
beauty parlor	mana bareedinaa
secretariat	mana barreessaa
boarding school	mana barumsa bulmaataa
dancing-school	mana barumsa daaltii
day school	mana barumsa deddeebii
private school	mana barumsa dhuunfaa
evening class	mana barumsa galgalaa
school of social work	mana barumsa gamtaa
riding-school	mana barumsa gugsii
building college	mana barumsa ijaarsaa
school of home economics	mana barumsa kaametummaa
training-school	mana barumsa leenjii
teacher training school	mana barumsa leenjii barsiisotaa
public school	mana barumsa mootummaa
academy of music	mana barumsa muusiqaa
vocational school	mana barumsa ogummaa
driving school	mana barumsa ooffii
flying-school	mana barumsa qarimsii
agricultural school	mana barumsa qonnaa
elementary school	mana barumsa sadarkaa duraa
junior secondary school	mana barumsa sadarkaa jiddugalee
secondary school	mana barumsa sadarkaa lammaffaa
commercial school	mana barumsa seedannoo
medical school	mana barumsa waldhaansaa
school	mana barumsaa
recreation-room	mana bashanantii
telephone booth	mana bilbiltoo
green house	mana biqilaa
supermarket	mana bittaa
toilet	mana bobbaa
dormitory	mana bulmaata bartuu
lodge	mana bulmaataa
snack-bar	mana bultee
lodging	mana bultii
coffee house	mana bunaa
snow-house	mana cabbii
hairdresser's salon	mana cibirraa
pension	mana ciisichaa
house with thatched roof	mana citaa
baker's shop	mana daabboo
a bar where honey-wine is served	mana daadhii
discotheque	mana daaltii
home for the disabled	mana daddhabdootaa
stone house	mana dhagaa
bath-room	mana dhiqannaa
almshouse	mana dhoortoo
public-house	mana dhugaatii
private house	mana dhuunfaa
reading-house	mana dubbisaa
home for the aged	mana dulloomtotaa
post office	mana ergaa
arts gallery	mana faayataa
photo shop	mana fakkoo
tavern	mana farsoo
hospital	mana fayyaa
toilet	mana fincaanii
store-room for meat on special occasion	mana foonii
a house with two or more storeys	mana fooqii
record office	mana galmee
orphanage	mana gasharee
change of residence	mana geeddara
to change a residence	mana geeddaruu
bindery	mana goolobbii
custom-house	mana gumrukaa
barber's shop	mana haaddii
prison	mana hidhaa
bedroom	mana hirribaa
tailor's shop	mana hoddhaa wayaa
office	mana hojii
public office	mana hojii mootummaa
treasury	mana horii
blockhouse	mana ilaalloo
inn	mana imaltuu
sport house	mana ispoortii
brick house	mana jaajuraa
ground floor	mana jalaa
chapel	mana kadhannaa
porter's lodge	mana karreegduu
guesthouse	mana keessummaa
tenement house	mana kiraa
mobile library	mana kitaabota naanna'aa
library	mana kitaabotaa
garage	mana konkolee
basement	mana lafjalaa
place value	mana lakkoofsaa
embassy	mana lamii
bank	mana liqaa
hen-house	mana lukkuu
treasury	mana maallaqaa
council	mana marii
Chamber of Deputies	mana marii gadaanaa
sport council	mana marii ispoortii
City Council	mana marii magaalaa
Council of Ministers	mana marii ministeerotaa
Council of State	mana marii mootummaa
regional parliament	mana marii naannoo
Security Council	mana marii nageenyaa
Upper House	mana marii olaanaa
national parliament	mana marii sabaa
Chamber of Commerce	mana marii seedannoo
People's Congress	mana marii uummataa
printing-press	mana maxxansaa
publishing house	mana maxxansiisaa
storeroom	mana meeshaa
laundry	mana miiccaa
beauty salon	mana miidhaginaa
royal residence	mana mootii
palace	mana mootummaa
court of arbitration	mana murtii araaraa
federal court	mana murtii atoomaa
district court	mana murtii koonyaa
supreme court	mana murtii olaanaa
court of inquiry	mana murtii qormaataa
eating-house	mana nyaataa
military academy	mana ogummaa waraanaa
post office	mana poostaa
a court of Muslim affairs	mana qaadii
residence of the traditional Oromo bishop	mana qaalluu
slaughter-house	mana qalmaa
pharmacy	mana qorichaa
house whose roof is corrugated iron sheet	mana qorqoorroo
sanctuary	mana quftoo
lavatory	mana qulqullinaa
sanctuary	mana qulqullummaa
government subsidised dwellings	mana qusannaa
mausoleum	mana reeffa durii
mortuary	mana reeffaa
court-house	mana seeraa
federal court	mana seeraa atoommii
Department of Public Prosecution	mana seeraa eegsisaa
district court	mana seeraa koonyaa
people's tribunal	mana seeraa uummataa
military tribunal	mana seeraa waraanaa
criminal-court	mana seeraa yakkii
tea-room	mana shaayii
aviary	mana shimbirroo
brothel	mana shuushee
reception house	mana simannoo
cinema	mana sinimaa
dinning hall	mana soorataa
teachers' residence	mana taa'umsa barsiisotaa
dwelling	mana taa'umsaa
casino	mana tirgaa
theater	mana tiyaatiraa
police station	mana torobbee
dressing-room	mana uffannaa
public house	mana uummataa
hospital	mana waldhaansaa
community home	mana waldoo
auditorium	mana walgayii
mourners' house	mana warra du'aa
tailor's shop	mana waya-hoodhituu
test room	mana yaalii
boathouse	mana yabaloo
homeless	mana-dhablee
house of God	manamantii
cottage	manattii
library	manbarroo
lending library	manbarroo ergisaa
public library	manbarroo uummataa
extinction	manca'ii
bush knife	mancaa
elimination	mancaasa
to eliminate	mancaasuu
cage	mandhee
icebox	mandhee cabbii
snail-shell	mandhee cilalluu
spider web	mandhee orbobbiisaa
tortoise-shell	mandhee qocaa
cocoon	mandhee raammoo
birdcage	mandhee shimbirroo
hundreds	mandhibbee
domain	mandhoo
thundering	mandi'aa
to thunder	mandi'uu
wild	mandiidaa
thunder and lightning	mandiisuu
corvÃ©e labour	mandoo
frontage	manduree
backyard	manduubee
horticulture	manduuboo
caretaker	maneegduu
house guard	maneegduu
post office	manergaa
general post office	manergaa duraasaa
jaw	mangaagaa
upper jaw	mangaagaa gubbaa
lower jaw	mangaagaa jalaa
odd number	mangoo
mumps	mangurroo
part of a loom	manii
motel	manimaltuu
tetanus	manjalloo
thousands	mankumee
tens	mankurnee
storeroom	mankuusa
storey building	manmanarraa
yard	mannaana
graveyard	mannaana awwaalaa
churchyard	mannaana bataskaanaa
ship-yard	mannaana doonii
school compound	mannaana mana barumsaa
court	mannaana mootii
university campus	mannaana unibarsitii
buildings	manneeta
parent	mansa
cement	mansee
court	manseera
commercial court	manseera seedannoo
deep sorrow	manshitaa
deposit	mansoo
glory	manyaaqa
glorious	manyaaqoo
defamatory	maqa-balleessaa
anonymous	maqa-dhabeessa
famous	maqa-qabeessa
name	maqaa
surname	maqaa abbaa
to give a name	maqaa baasuu
defamation	maqaa balleessii
to defame	maqaa balleessuu
pen-name	maqaa barreessii
given name	maqaa dhalootaa
to name	maqaa dhawuu
anonym	maqaa dhoksaa
trivial name	maqaa ifaa
to nominate	maqaa kennuu
baptismal name	maqaa kiristinnaa
nickname	maqaa masoo
brand name	maqaa meeshaa
job title	maqaa ramada hojii
scientific name	maqaa saayinsaawaa
to take attendance	maqaa waamuu
name giving	maqabaasa
clippers	maqaftuu
same as maqxoo	maqasii
to cut hair off	maqasuu
inn	maqayaa
article	maqo-dhipphiftuu
proper noun	maqofee
forename	maqofii
adjective	maqomuldhiftuu
possessive adjective	maqomuldhiftuu abbummee
demonstrative adjective	maqomuldhiftuu agarsiisinaa
adjective of quality	maqomuldhiftuu akkaataa
interrogative adjective	maqomuldhiftuu gaafii
quantitative adjective	maqomuldhiftuu hangaa
distributive adjective	maqomuldhiftuu ramaddii
noun	maqoo
common noun	maqoo gamtaa
abstract noun	maqoo killayyaa
proper noun	maqoo waamsaa
collective noun	maqoo waliyii
diagnosis	maqsa
scissors	maqxoo
snips	maqxoo sibiilaa
intestine	mar'imaan
package	maraa
secondary coil	maraa lammee
